customer_id,cluster
3,1
4,2
5,6
7,7
8,7
9,0
10,5
11,6
12,1
14,0
15,2
16,3
18,7
19,6
20,4
22,2
24,0
25,1
26,4
27,1
28,1
29,1
30,0
31,6
33,6
34,6
35,6
36,5
37,4
38,6
39,4
40,5
41,0
42,1
44,2
46,2
47,1
48,3
49,5
50,6
52,7
53,3
54,7
55,5
56,1
57,3
59,1
60,6
61,0
62,5
63,0
64,1
66,0
69,2
70,7
71,0
72,2
73,7
74,2
75,7
76,6
77,0
78,4
79,4
80,1
81,3
82,1
83,7
84,3
85,6
86,4
87,4
89,0
90,7
91,3
92,1
94,0
95,5
97,3
100,1
102,7
103,2
105,5
106,7
107,4
108,3
109,2
110,1
111,0
112,3
113,1
114,6
115,7
116,7
117,4
119,0
120,2
121,4
122,5
123,5
124,2
125,0
126,6
127,5
128,7
129,2
130,6
131,1
132,6
134,3
135,6
136,1
137,0
138,3
139,0
141,2
142,4
144,7
145,7
146,0
147,4
148,0
149,5
152,1
154,7
157,6
158,7
159,1
160,0
161,6
162,1
163,0
165,5
166,5
168,1
170,3
171,3
172,0
173,1
174,6
176,1
179,1
180,3
182,1
184,1
185,4
186,5
187,7
188,0
189,2
191,6
192,3
193,0
195,1
196,3
197,0
198,3
199,6
200,4
201,5
202,6
203,1
204,4
205,2
206,4
207,4
208,5
210,1
211,4
212,6
213,6
214,3
215,3
216,1
217,1
218,6
219,4
220,6
221,5
225,1
226,0
229,5
231,5
232,6
233,1
235,6
236,7
238,3
240,7
241,6
242,1
243,2
244,6
245,6
248,4
249,1
250,0
251,3
254,3
256,4
257,3
258,6
259,3
260,7
261,5
262,3
263,7
264,2
265,1
266,3
270,2
272,6
274,5
276,1
278,4
279,4
280,5
282,6
283,6
284,4
285,0
286,5
287,4
288,7
290,6
292,6
293,4
295,6
296,6
297,2
298,6
299,5
300,7
301,6
303,2
304,6
305,6
306,6
307,2
308,4
310,4
311,2
312,3
313,1
315,6
317,2
321,6
322,4
323,3
324,2
325,5
326,5
328,1
329,2
330,6
331,7
336,1
337,6
338,7
339,4
340,4
341,1
342,5
343,3
344,5
346,6
347,5
350,6
351,6
352,6
353,5
355,6
356,2
358,0
360,6
361,4
362,6
363,7
364,0
365,0
366,0
367,3
368,1
369,6
370,6
371,3
372,4
373,4
375,5
376,3
377,1
378,6
379,5
381,1
382,3
383,5
384,3
385,0
386,1
387,1
389,0
390,7
391,5
392,1
393,2
394,1
395,6
396,7
397,6
398,7
399,2
400,2
401,1
402,3
403,2
405,7
406,4
407,3
408,7
410,4
411,6
412,7
413,5
414,4
416,2
417,2
